Bridge Site ID,Longitude,Latitude,District,Country
006f100000d7PqD,29.57274,-2.02839,all,Rwanda
006f100000d7azA,29.42269,-2.11248,all,Rwanda
006f100000d7EQd,29.80603,-1.49763,all,Rwanda
006f100000d7icb,29.84701,-1.66137,all,Rwanda
006f100000d6wBZ,29.73314,-1.984992,all,Rwanda
006f100000d6wBZ,29.73314,-1.984992,all,Rwanda
006f100000d889K,29.30137,-2.14492,all,Rwanda
006f100000a86Fw,29.208913,-2.282545,all,Rwanda
006f100000d1fVu,29.01131,-2.63441,all,Rwanda
006f100000a86Dz,29.77787873,-1.81295875,all,Rwanda
006f100000a86GM,29.4508056,-2.7803056,all,Rwanda
006f100000a86Gy,29.571836,-2.614243,all,Rwanda
006f100000a86E4,29.745,-1.750277,all,Rwanda
006f100000d7cxU,29.36179,-1.97905,all,Rwanda
006f100000d1hDL,29.16455,-2.37608,all,Rwanda
006f100000d7Q9h,29.82387,-1.34705,all,Rwanda
006f100000a86FP,29.435709,-2.391707,all,Rwanda
006f100000d7gje,29.56459167,-2.59941667,all,Rwanda
006f100000a86Go,29.43844,-2.70144,all,Rwanda
006f100000a86Fb,29.55516,-2.294523,all,Rwanda
006f100000d75uc,29.51450333,-2.55117833,all,Rwanda
006f100000a86EK,29.57821,-1.91351,all,Rwanda
006f100000d7ksl,29.54478,-1.7246,all,Rwanda
006f100000d7Gs8,29.42217,-1.65625,all,Rwanda
006f100000d1fWd,28.90339,-2.50322,all,Rwanda
006f100000d1fPc,29.37909,-2.1886,all,Rwanda
006f100000cPRfw,29.381622,-1.790933,all,Rwanda
006f100000a86Hu,30.00904,-1.75152,all,Rwanda
006f100000d75zF,29.83253,-1.55473,all,Rwanda
006f100000d7Gs3,29.48884,-1.62689,all,Rwanda
006f100000a86EC,29.67916667,-1.536111111,all,Rwanda
006f100000d1hOE,29.52739,-2.60126,all,Rwanda
006f100000efEf1,30.30697,-2.2041,all,Rwanda
006f100000d762E,29.69851613,-2.01273958,all,Rwanda
006f100000d6kst,29.78201,-1.92495,all,Rwanda
006f100000d7ibs,29.78084,-1.62126,all,Rwanda
006f100000a86En,29.51732,-1.6798,all,Rwanda
006f100000d766y,29.79548,-2.30577,all,Rwanda
006f100000d1fU3,29.37822,-2.26182,all,Rwanda
006f100000a86Fg,29.456363,-2.26898,all,Rwanda
006f100000d7iUc,29.29628,-1.8054,all,Rwanda
006f100000eekYP,30.0085,-2.01861,all,Rwanda
006f100000a86Eb,29.5934722,-1.6695278,all,Rwanda
006f100000d7wXs,29.39508,-2.06165,all,Rwanda
006f100000efEew,30.28804,-2.20515,all,Rwanda
006f100000a86GO,29.4581,-2.667,all,Rwanda
006f100000a86Hz,30.03081,-1.74817,all,Rwanda
006f100000d7b5w,29.238419,-2.293363,all,Rwanda
006f100000d7iZm,29.41906,-2.03972,all,Rwanda
006f100000a86FT,29.52308,-2.436162,all,Rwanda
0063Z00000hvy7A,29.782109,-1.976608,all,Rwanda
006f100000efEeX,30.061769,-1.995001,all,Rwanda
