Bridge Site ID,Latitude,Longitude,Country,Region
1014035,-2.20644333,29.518888,Rwanda,Karongi
1014036,-2.2408033,29.4925267,Rwanda,Karongi
1014037,-2.23438167,29.47267167,Rwanda,Karongi
1014048,-2.23574,29.48168167,Rwanda,Karongi
1014049,-2.153882,29.506953,Rwanda,Karongi
1014050,-2.18135,29.37769,Rwanda,Karongi
1014051,-2.164835,29.491473,Rwanda,Karongi
1014053,-2.1886,29.37909,Rwanda,Karongi
1014055,-2.17259,29.40382,Rwanda,Karongi
1014057,-2.228383,29.51722,Rwanda,Karongi
1014060,-2.21065,29.519803,Rwanda,Karongi
1014062,-2.242973,29.464718,Rwanda,Karongi
1014070,-2.154842,29.5107383,Rwanda,Karongi
1014071,-2.20755,29.44008,Rwanda,Karongi
1014073,-2.24952,29.38323,Rwanda,Karongi
1014074,-2.22396167,29.43661833,Rwanda,Karongi
1014077,-2.24468,29.40848,Rwanda,Karongi
1014078,-2.23732,29.40253,Rwanda,Karongi
1014079,-2.2414,29.39529,Rwanda,Karongi
1014080,-2.11637,29.5875,Rwanda,Karongi
1014081,-2.10922,29.59721,Rwanda,Karongi
1014345,-2.13099,29.57793,Rwanda,Karongi
1014346,-2.10761,29.56258,Rwanda,Karongi
1014347,-2.07245,29.60469,Rwanda,Karongi
1014373,-2.15347,29.35955,Rwanda,Karongi
1007393,-1.90503,30.60191,Rwanda,Kayonza
1007394,-1.97849,30.58137,Rwanda,Kayonza
1007395,-1.92998,30.60766,Rwanda,Kayonza
1007396,-1.96784,30.58284,Rwanda,Kayonza
1013620,-1.90822,30.4727,Rwanda,Kayonza
1013622,-1.95152,30.59912,Rwanda,Kayonza
1013697,-1.91118,30.56047,Rwanda,Kayonza
1013704,-1.89013,30.61139,Rwanda,Kayonza
1013706,-2.06686,30.62524,Rwanda,Kayonza
1013707,-2.0901,30.65996,Rwanda,Kayonza
1013828,-1.9592,30.47838,Rwanda,Kayonza
1013829,-2.01879,30.7448,Rwanda,Kayonza
1013831,-1.94853,30.66917,Rwanda,Kayonza
1013832,-1.74771,30.50005,Rwanda,Kayonza
1013833,-1.74678,30.50085,Rwanda,Kayonza
1013834,-1.93163,30.79019,Rwanda,Kayonza
1013835,-2.04215,30.67317,Rwanda,Kayonza
1013837,-2.05203,30.58818,Rwanda,Kayonza
1013838,-2.01049,30.48377,Rwanda,Kayonza
1013839,-2.01757,30.48546,Rwanda,Kayonza
1007328,-2.048451,30.191276,Rwanda,Kicukiro
